geo,year,part_time
DK04,2015,148129.0
DK04,2016,160516.0
DK04,2017,157522.0
DK04,2018,158320.0
DK04,2019,163345.0
DK04,2020,162944.0
DK04,2021,163693.0
DK04,2022,170025.0
DK04,2023,182872.0
DK05,2008,60092.0
DK05,2009,64255.0
DK05,2010,58506.0
DK05,2011,55849.0
DK05,2012,58923.0
DK05,2013,57558.0
DK05,2014,59589.0
DK05,2015,58579.0
DK05,2016,61979.0
DK05,2017,62990.0
DK05,2018,62073.0
DK05,2019,60533.0
DK05,2020,57860.0
DK05,2021,64138.0
DK05,2022,65957.0
DK05,2023,66799.0
EE00,2008,40422.0
EE00,2009,54113.0
EE00,2010,53879.0
EE00,2011,54301.0
EE00,2012,54189.0
EE00,2013,52913.0
EE00,2014,49812.0
EE00,2015,56860.0
EE00,2016,59017.0
EE00,2017,59127.0
EE00,2018,68338.0
EE00,2019,70993.0
EE00,2020,74989.0
EE00,2021,74887.0
EE00,2022,83857.0
EE00,2023,87788.0
EL30,2008,71581.0
EL30,2009,87223.0
EL30,2010,89876.0
EL30,2011,86645.0
EL30,2012,104506.0
EL30,2013,120110.0
EL30,2014,134320.0
EL30,2015,139753.0
EL30,2016,144339.0
EL30,2017,142459.0
EL30,2018,134363.0
EL30,2019,144335.0
EL30,2020,131026.0
EL30,2021,133960.0
EL30,2022,121953.0
EL30,2023,109806.0
EL41,2008,2096.0
EL41,2009,3023.0
EL41,2010,3864.0
EL41,2011,3106.0
EL41,2012,4026.0
EL41,2013,3298.0
EL41,2014,2585.0
EL41,2015,2469.0
EL41,2016,2785.0
EL41,2017,4323.0
EL41,2018,3760.0
EL41,2019,4464.0
EL41,2020,4124.0
EL41,2021,4024.0
EL41,2022,4385.0
EL41,2023,4803.0
EL42,2008,6999.0
EL42,2009,6835.0
EL42,2010,8597.0
EL42,2011,7477.0
EL42,2012,6278.0
EL42,2013,5609.0
EL42,2014,6041.0
EL42,2015,6093.0
EL42,2016,7084.0
EL42,2017,6987.0
EL42,2018,10929.0
EL42,2019,9784.0
EL42,2020,9196.0
EL42,2021,10729.0
EL42,2022,10961.0
EL42,2023,9978.0
EL43,2008,14251.0
EL43,2009,15544.0
EL43,2010,18907.0
EL43,2011,18252.0
EL43,2012,20716.0
EL43,2013,18756.0
EL43,2014,17462.0
EL43,2015,19011.0
EL43,2016,18858.0
EL43,2017,16904.0
EL43,2018,17105.0
EL43,2019,13516.0
EL43,2020,10880.0
EL43,2021,11380.0
EL43,2022,25989.0
EL43,2023,15741.0
EL51,2008,14369.0
EL51,2009,14126.0
EL51,2010,14183.0
EL51,2011,11562.0
EL51,2012,12995.0
EL51,2013,11257.0
EL51,2014,12546.0
EL51,2015,10727.0
EL51,2016,14551.0
EL51,2017,13089.0
EL51,2018,12254.0
EL51,2019,13727.0
EL51,2020,14618.0
EL51,2021,15622.0
EL51,2022,18037.0
EL51,2023,27285.0
EL52,2008,51060.0
EL52,2009,48481.0
EL52,2010,48756.0
EL52,2011,44769.0
EL52,2012,39736.0
EL52,2013,39235.0
EL52,2014,47719.0
EL52,2015,53026.0
EL52,2016,54107.0
EL52,2017,57352.0
EL52,2018,60298.0
EL52,2019,65512.0
EL52,2020,58791.0
EL52,2021,49477.0
EL52,2022,53207.0
EL52,2023,47408.0
EL53,2008,9745.0
EL53,2009,9507.0
EL53,2010,9595.0
EL53,2011,9146.0
EL53,2012,7497.0
EL53,2013,6192.0
EL53,2014,6778.0
EL53,2015,6042.0
EL53,2016,6911.0
EL53,2017,7726.0
EL53,2018,6590.0
EL53,2019,6606.0
EL53,2020,7437.0
EL53,2021,7406.0
EL53,2022,13059.0
EL53,2023,7314.0
EL54,2008,8609.0
EL54,2009,10233.0
EL54,2010,10859.0
EL54,2011,9305.0
EL54,2012,8563.0
EL54,2013,7435.0
