geo,year,involuntary_part_time
FI18,2016,41011.0
FI18,2017,35107.0
FI18,2018,41729.0
FI18,2019,40173.0
FI18,2020,46140.0
FI18,2021,42406.0
FI18,2022,41756.0
FI18,2023,39136.0
FI19,2008,18534.0
FI19,2009,17886.0
FI19,2010,19973.0
FI19,2011,18854.0
FI19,2012,18216.0
FI19,2013,16924.0
FI19,2014,21674.0
FI19,2015,19729.0
FI19,2016,24345.0
FI19,2017,23127.0
FI19,2018,22309.0
FI19,2019,25258.0
FI19,2020,23281.0
FI19,2021,27752.0
FI19,2022,26062.0
FI19,2023,24563.0
FI1D,2008,18300.0
FI1D,2009,18007.0
FI1D,2010,17205.0
FI1D,2011,17103.0
FI1D,2012,17772.0
FI1D,2013,16469.0
FI1D,2014,15642.0
FI1D,2015,14980.0
FI1D,2016,21269.0
FI1D,2017,22779.0
FI1D,2018,21297.0
FI1D,2019,22481.0
FI1D,2020,22129.0
FI1D,2021,25625.0
FI1D,2022,22944.0
FI1D,2023,18014.0
FI20,2008,211.0
FI20,2009,334.0
FI20,2010,435.0
FI20,2011,464.0
FI20,2012,772.0
FI20,2013,606.0
FI20,2014,634.0
FI20,2015,505.0
FI20,2016,416.0
FI20,2017,158.0
FI20,2018,467.0
FI20,2019,566.0
FI20,2020,653.0
FI20,2021,1111.0
FI20,2022,678.0
FI20,2023,523.0
FR10,2008,148868.0
FR10,2009,147718.0
FR10,2010,139668.0
FR10,2011,141708.0
FR10,2012,150298.0
FR10,2013,213704.0
FR10,2014,181859.0
FR10,2015,191913.0
FR10,2016,198412.0
FR10,2017,210951.0
FR10,2018,199439.0
FR10,2019,186252.0
FR10,2020,179503.0
FR10,2021,140947.0
FR10,2022,117680.0
FR10,2023,122864.0
FR21,2008,18656.0
FR21,2009,27384.0
FR21,2010,28532.0
FR21,2011,28470.0
FR21,2012,28505.0
FR22,2008,39887.0
FR22,2009,35640.0
FR22,2010,41811.0
FR22,2011,29520.0
FR22,2012,30167.0
FR23,2008,40737.0
FR23,2009,30774.0
FR23,2010,37824.0
FR23,2011,38679.0
FR23,2012,34383.0
FR24,2008,44012.0
FR24,2009,33520.0
FR24,2010,44766.0
FR24,2011,38505.0
FR24,2012,44067.0
FR25,2008,27483.0
FR25,2009,30438.0
FR25,2010,32889.0
FR25,2011,26104.0
FR25,2012,28235.0
FR26,2008,41981.0
FR26,2009,40622.0
FR26,2010,35095.0
FR26,2011,39125.0
FR26,2012,26834.0
FR30,2008,80508.0
FR30,2009,78776.0
FR30,2010,71552.0
FR30,2011,75149.0
FR30,2012,62149.0
FR41,2008,32990.0
FR41,2009,51753.0
FR41,2010,45648.0
FR41,2011,47114.0
FR41,2012,43587.0
FR42,2008,23859.0
FR42,2009,28079.0
FR42,2010,26275.0
FR42,2011,22952.0
FR42,2012,32396.0
FR43,2008,19295.0
FR43,2009,21860.0
FR43,2010,20961.0
FR43,2011,19523.0
FR43,2012,14092.0
FR51,2008,74961.0
FR51,2009,66400.0
FR51,2010,70232.0
FR51,2011,69929.0
FR51,2012,70970.0
FR52,2008,37008.0
FR52,2009,52972.0
FR52,2010,60279.0
FR52,2011,52941.0
FR52,2012,53455.0
FR53,2008,41150.0
FR53,2009,30253.0
FR53,2010,40186.0
FR53,2011,33194.0
FR53,2012,32553.0
FR61,2008,64563.0
FR61,2009,44504.0
FR61,2010,62227.0
FR61,2011,59117.0
FR61,2012,79582.0
FR62,2008,57938.0
FR62,2009,59028.0
FR62,2010,51323.0
FR62,2011,51602.0
FR62,2012,39914.0
FR63,2008,11975.0
FR63,2009,10515.0
FR63,2010,14046.0
FR63,2011,15266.0
FR63,2012,13587.0
FR71,2008,108717.0
FR71,2009,108761.0
FR71,2010,114916.0
FR71,2011,102575.0
FR71,2012,104716.0
FR72,2008,26714.0
FR72,2009,22363.0
FR72,2010,32496.0
FR72,2011,26323.0
FR72,2012,22902.0
FR81,2008,57009.0
