NUTS,Year,GVA,Total
Notios Tomeas Athinon,2006,2797.862071,10586.42137
Anatoliki Attiki,2006,2234.019744,10117.831186
Dytiki Attiki,2006,983.822746,5260.481769
"Peiraias, Nisoi",2006,3399.099534,11023.543188
"NISIA AIGAIOU, KRITI",2006,6631.494147,18101.480843
Voreio Aigaio,2006,777.879102,2645.215314
"Lesvos, Limnos",2006,352.00397,1391.518436
"Ikaria, Samos",2006,225.923379,597.015861
Chios,2006,199.951754,656.681018
Notio Aigaio,2006,2942.491079,6175.755615
"Kalymnos, Karpathos, Kos, Rodos",2006,1457.125568,3430.418268
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2006,1485.36551,2745.337347
Kriti,2006,2911.123966,9280.509914
Irakleio,2006,1425.869084,4544.931585
Lasithi,2006,305.465132,1154.083216
Rethymni,2006,398.037671,1195.788095
Chania,2006,781.75208,2385.707017
VOREIA ELLADA,2006,9395.172705,41105.305944
"Anatoliki Makedonia, Thraki",2006,1677.2882,6986.672647
Evros,2006,372.101587,1648.727411
Xanthi,2006,205.797808,1244.055153
Rodopi,2006,212.054956,1265.670782
Drama,2006,225.245682,1052.444516
"Thasos, Kavala",2006,662.088167,1775.774784
Kentriki Makedonia,2006,6163.654812,25674.481637
Imathia,2006,380.173398,1750.912332
Thessaloniki,2006,3995.706968,16895.251679
Kilkis,2006,148.649745,933.635771
Pella,2006,310.375546,1555.921016
Pieria,2006,386.674992,1382.9136
Serres,2006,389.792234,1657.216532
Chalkidiki,2006,552.281928,1498.630707
Dytiki Makedonia,2006,566.723209,4363.094867
Grevena,2006,54.716695,319.153524
Kozani,2006,302.187484,2630.667973
Kastoria,2006,111.575229,521.277563
Florina,2006,98.243801,891.995807
Ipeiros,2006,987.506484,4081.056794
Arta,2006,145.595394,750.884463
Preveza,2006,158.88399,642.172011
Thesprotia,2006,248.556961,590.164801
Ioannina,2006,434.47014,2097.835519
KENTRIKI ELLADA,2006,9557.981901,39607.840466
Thessalia,2006,2181.982389,9694.173701
Karditsa,2006,252.082098,1094.681523
Trikala,2006,313.642387,1458.911788
Larisa,2006,727.224603,4132.326762
Magnisia,2006,889.033301,3008.253627
Ionia Nisia,2006,1612.877669,3486.75027
Zakynthos,2006,397.332933,786.84732
Kerkyra,2006,753.206713,1717.477874
"Ithaki, Kefallinia",2006,352.856014,695.339022
Lefkada,2006,109.482009,287.086055
Dytiki Ellada,2006,2261.377062,9355.923029
Aitoloakarnania,2006,700.311777,2625.340012
Achaia,2006,1098.378446,4904.519285
Ileia,2006,462.68684,1826.063732
Sterea Ellada,2006,1756.519913,8910.814218
Voiotia,2006,240.029731,2609.924482
Evvoia,2006,829.726254,3346.945716
Evrytania,2006,34.509673,199.652798
Fthiotida,2006,552.615622,2270.335609
Fokida,2006,99.638632,483.955613
Peloponnisos,2006,1745.224867,8160.179248
Argolida,2006,389.062589,1525.958856
Arkadia,2006,210.923931,1478.124356
Korinthia,2006,469.515686,2013.680883
Lakonia,2006,284.386666,1095.732615
Messinia,2006,391.335996,2046.682538
ELLADA,2007,50612.274555,201855.133884
ATTIKI,2007,22257.062218,96720.534386
Attiki,2007,22257.062218,96720.534386
Voreios Tomeas Athinon,2007,2868.736626,15799.884491
Dytikos Tomeas Athinon,2007,1781.17656,6613.994575
Kentrikos Tomeas Athinon,2007,6783.842978,34815.934326
Notios Tomeas Athinon,2007,3095.816312,11399.80773
Anatoliki Attiki,2007,2664.989397,11112.283409
Dytiki Attiki,2007,1182.87141,5370.072502
"Peiraias, Nisoi",2007,3879.628934,11608.557353
"NISIA AIGAIOU, KRITI",2007,7310.023297,19168.146345
Voreio Aigaio,2007,915.766646,2830.716566
"Lesvos, Limnos",2007,407.27815,1450.458281
"Ikaria, Samos",2007,265.522803,641.107912
Chios,2007,242.965693,739.150373
Notio Aigaio,2007,3230.30699,6590.769087
"Kalymnos, Karpathos, Kos, Rodos",2007,1543.824474,3586.886561
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2007,1686.482516,3003.882526
Kriti,2007,3163.949661,9746.660693
Irakleio,2007,1562.370913,4795.307143
Lasithi,2007,309.345669,1217.571237
Rethymni,2007,440.667178,1226.013645
Chania,2007,851.565901,2507.768667
VOREIA ELLADA,2007,10637.047686,44246.125558
"Anatoliki Makedonia, Thraki",2007,1914.146963,7701.533426
Evros,2007,427.953603,1869.252828
Xanthi,2007,221.599063,1290.088461
Rodopi,2007,228.091078,1385.024728
Drama,2007,249.994704,1118.740189
"Thasos, Kavala",2007,786.508515,2038.42722
Kentriki Makedonia,2007,6964.903502,27858.878657
Imathia,2007,449.528251,1892.145879
Thessaloniki,2007,4456.596598,18097.860626
Kilkis,2007,174.045784,1121.247803
Pella,2007,372.166258,1835.964611
Pieria,2007,451.850039,1500.840309
Serres,2007,450.163959,1845.252136
Chalkidiki,2007,610.552614,1565.567293
Dytiki Makedonia,2007,617.658891,4413.107981
Grevena,2007,58.609712,331.865348
Kozani,2007,324.422935,2632.342758
Kastoria,2007,122.4509,572.324025
Florina,2007,112.175344,876.57585
Ipeiros,2007,1140.33833,4272.605493
Arta,2007,168.870239,763.947302
Preveza,2007,181.476539,682.468845
Thesprotia,2007,290.480637,629.667203
Ioannina,2007,499.510915,2196.522145
KENTRIKI ELLADA,2007,10408.141354,41720.327595
Thessalia,2007,2338.906964,10183.069405
Karditsa,2007,282.091573,1182.651241
Trikala,2007,339.475495,1587.968204
Larisa,2007,789.635722,4368.299329
Magnisia,2007,927.704174,3044.150631
Ionia Nisia,2007,1794.117713,3709.033369
Zakynthos,2007,440.478967,853.398948
Kerkyra,2007,822.718288,1793.109653
"Ithaki, Kefallinia",2007,406.827941,763.186415
Lefkada,2007,124.092516,299.338354
Dytiki Ellada,2007,2384.626285,9841.845866
Aitoloakarnania,2007,741.512153,2739.741932
Achaia,2007,1141.382344,5126.311794
Ileia,2007,501.731788,1975.79214
Sterea Ellada,2007,1931.364003,9303.291886
Voiotia,2007,277.43547,2612.173444
Evvoia,2007,916.692075,3583.574154
Evrytania,2007,34.867976,203.433925
Fthiotida,2007,591.404975,2402.780078
Fokida,2007,110.963508,501.330284
Peloponnisos,2007,1959.126389,8683.08707
Argolida,2007,445.296045,1646.863678
Arkadia,2007,236.638989,1511.472076
Korinthia,2007,498.559822,2161.248164
Lakonia,2007,321.254122,1183.394924
Messinia,2007,457.377412,2180.108227
ELLADA,2008,55755.658354,210563.872465
ATTIKI,2008,24138.556687,101010.048186
Attiki,2008,24138.556687,101010.048186
Voreios Tomeas Athinon,2008,3116.315944,16755.874806
Dytikos Tomeas Athinon,2008,1922.291103,6811.141887
Kentrikos Tomeas Athinon,2008,7286.129321,36613.718556
Notios Tomeas Athinon,2008,3274.263651,11874.818218
Anatoliki Attiki,2008,3028.993815,11507.66626
Dytiki Attiki,2008,1333.755333,5472.031576
"Peiraias, Nisoi",2008,4176.80752,11974.796883
"NISIA AIGAIOU, KRITI",2008,8364.125945,20393.652547
Voreio Aigaio,2008,1043.850916,3013.102974
"Lesvos, Limnos",2008,462.899953,1537.39165
"Ikaria, Samos",2008,321.877914,700.250044
Chios,2008,259.073049,775.46128
Notio Aigaio,2008,3675.652043,7073.87984
"Kalymnos, Karpathos, Kos, Rodos",2008,1828.108185,3891.261603
