geo,year,greek_tourism_Stays__Hotel_Stays_Natives,greek_tourism_Stays__Hotel_Stays_Foreign,greek_tourism_Stays__Hotel_Stays_Total,greek_tourism_Stays__Hotel_Beds,greek_tourism_Stays__Hotel_Occupancy,greek_tourism_Stays__Hotel_Stays_Natives_pct_diff,greek_tourism_Stays__Hotel_Stays_Foreign_pct_diff,greek_tourism_Stays__Hotel_Stays_Total_pct_diff,greek_tourism_Stays__Hotel_Occupancy_pct_diff,_row_order_,__conflict_file
EL531,2018,104604,18034,122638,1782,20.1,-0.6609686609686609,102.31097150549698,7.375628206699704,-15.546218487394956,523,greek_tourism_Stays
EL531,2019,12120,1530,13650,1031,4.3,43.94299287410927,74.65753424657534,46.83734939759036,43.33333333333333,272,greek_tourism_Stays
EL531,2019,97753,13624,111377,1762,18.2,-6.5494627356506445,-24.453809470999225,-9.182308909147247,-9.45273631840797,524,greek_tourism_Stays
EL531,2020,7732,986,8718,640,7.7,-36.20462046204621,-35.55555555555556,-36.13186813186813,79.06976744186048,273,greek_tourism_Stays
EL531,2020,61597,11918,73515,1487,18.8,-36.98710014014915,-12.522019964768056,-33.994451278091525,3.2967032967033045,525,greek_tourism_Stays
EL531,2021,6061,306,6367,377,7.2,-21.61148473874806,-68.96551724137932,-26.9671943106217,-6.493506493506493,274,greek_tourism_Stays
EL531,2021,79961,12189,92150,1316,22.5,29.81314025033687,2.273871454942104,25.3485683193906,19.68085106382978,526,greek_tourism_Stays
EL531,2022,9873,1036,10909,1313,6.5,62.89391189572677,238.562091503268,71.33657923668918,-9.722222222222223,275,greek_tourism_Stays
EL531,2022,99786,13874,113660,1776,23.7,24.79333675166644,13.82393961768808,23.342376559956595,5.33333333333333,527,greek_tourism_Stays
EL531,2023,12221,2010,14231,1168,9.3,23.782031803909653,94.01544401544402,30.45192043267027,43.07692307692309,276,greek_tourism_Stays
EL531,2023,112059,17320,129379,1731,26.4,12.299320545968373,24.83782614963241,13.829843392574343,11.392405063291136,528,greek_tourism_Stays
EL515,2015,79656,691924,771580,10355,52.9,,,,,367,greek_tourism_Stays
EL515,2015,139366,189142,328508,3068,37.1,,,,,430,greek_tourism_Stays
EL515,2016,96946,650945,747891,9999,50.8,21.70583509089083,-5.922471254068365,-3.070193628658078,-3.969754253308131,368,greek_tourism_Stays
EL515,2016,145881,177113,322994,3018,37.0,4.674741328588034,-6.359772023136056,-1.6784979361233212,-0.269541778975745,431,greek_tourism_Stays
EL515,2017,75376,727868,803244,10086,52.0,-22.24949972149444,11.817127407077404,7.401212208730952,2.362204724409455,369,greek_tourism_Stays
EL515,2017,143348,195906,339254,3115,38.0,-1.736346748377102,10.6107400360222,5.034149241162375,2.702702702702702,432,greek_tourism_Stays
EL515,2018,116250,894569,1010819,12210,45.1,54.22680959456591,22.90264168777855,25.84208534393036,-13.269230769230766,370,greek_tourism_Stays
EL515,2018,142492,230987,373479,3301,38.0,-0.5971481987889611,17.907057466335896,10.08831141268784,0.0,433,greek_tourism_Stays
EL515,2019,117515,895558,1013073,12378,44.6,1.0881720430107529,0.1105560331288028,0.2229874982563643,-1.1086474501108647,371,greek_tourism_Stays
EL515,2019,133350,245977,379327,3327,38.7,-6.41579878168599,6.489542701537316,1.565817622945333,1.8421052631579025,434,greek_tourism_Stays
EL515,2020,94192,203360,297552,10374,22.1,-19.846828064502404,-77.29236967343265,-70.62877008863133,-50.44843049327354,372,greek_tourism_Stays
EL515,2020,61200,41887,103087,2715,16.5,-54.105736782902135,-82.97117210145663,-72.8237114679419,-57.36434108527132,435,greek_tourism_Stays
EL515,2021,111328,530016,641344,9205,46.3,18.192627824019027,160.6294256490952,115.54014088293812,109.50226244343888,373,greek_tourism_Stays
EL515,2021,92088,91796,183884,2776,26.3,50.47058823529412,119.15152672666936,78.3774869770194,59.3939393939394,436,greek_tourism_Stays
EL515,2022,111933,871450,983383,11536,52.0,0.5434392066685829,64.41956469238664,53.33159739546951,12.311015118790504,374,greek_tourism_Stays
EL515,2022,122282,215463,337745,3318,39.1,32.78820258882808,134.7193777506645,83.67285897631115,48.669201520912544,437,greek_tourism_Stays
EL515,2023,120193,993071,1113264,11183,54.0,7.379414471156853,13.95616501233576,13.20757019391224,3.8461538461538463,375,greek_tourism_Stays
EL515,2023,134183,262667,396850,3369,42.8,9.73242177916619,21.90816984818739,17.499888969488815,9.462915601023008,438,greek_tourism_Stays
EL623,2015,7008,6755,13763,228,26.4,,,,,403,greek_tourism_Stays
EL623,2015,91931,650746,742677,9203,46.4,,,,,502,greek_tourism_Stays
EL623,2016,7040,9968,17008,224,32.7,0.45662100456621,47.56476683937824,23.577708348470537,23.86363636363638,404,greek_tourism_Stays
EL623,2016,79755,690238,769993,8390,50.7,-13.244716145805006,6.068727276080068,3.678045772253618,9.267241379310354,503,greek_tourism_Stays
EL623,2017,8601,11867,20468,227,38.7,22.173295454545457,19.05096308186196,20.343367826904988,18.34862385321101,405,greek_tourism_Stays
