geo,nuts_label,nuts_level,year,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds,Hotel_Arrivals_Natives_pct_diff,Hotel_Arrivals_Foreign_pct_diff,Hotel_Arrivals_Total_pct_diff,Hotel_Beds_pct_diff
EL422,Σύρος,3,2017,26465,4930,31395,1351,-3.108296111884016,30.90812533191715,1.0135135135135136,-7.781569965870307
EL422,Τήνος,3,2017,38246,4202,42448,1511,21.26573448745997,45.44825199030807,23.29499244800744,-3.326935380678183
EL422,Άνδρος,3,2018,20062,8953,29015,1452,1.543756643215063,38.227574494364674,10.600747122055347,7.71513353115727
EL422,Θήρα,3,2018,73862,528415,602277,17748,260.9010065474445,168.5868079028561,177.2850532906701,91.93251865469882
EL422,Μήλος,3,2018,21003,39045,60048,2778,151.4124970074216,204.5394275017549,183.5796930342385,54.24764019988895
EL422,Μύκονος,3,2018,44801,499148,543949,13739,41.02556031226391,40.39072739648199,40.442797758901136,21.97265625
EL422,Νάξος,3,2018,40061,100431,140492,6916,92.5361657134618,234.09068227936527,176.18935283478808,139.72270363951475
EL422,Πάρος,3,2018,31364,111042,142406,7575,27.58929297860223,64.72141458494036,54.79922603648064,26.651061695368668
EL422,Σύρος,3,2018,47526,19967,67493,2459,79.58057812204798,305.0101419878296,114.98009237139672,82.01332346410067
EL422,Τήνος,3,2018,55145,9247,64392,2340,44.185012811797314,120.0618752974774,51.696192989068976,54.86432825943084
EL422,Άνδρος,3,2019,19924,9556,29480,1439,-0.687867610407736,6.73517256785435,1.6026193348268138,-0.8953168044077136
EL422,Θήρα,3,2019,74010,631537,705547,18836,0.2003736698166852,19.51534305422821,17.146595337361383,6.130268199233716
EL422,Μήλος,3,2019,15538,40375,55913,2762,-26.020092367756988,3.40632603406326,-6.886157740474287,-0.5759539236861051
EL422,Μύκονος,3,2019,43141,573126,616267,18272,-3.7052744358384855,14.820854736470944,13.294996405913054,32.99366766140185
EL422,Νάξος,3,2019,40282,117657,157939,7357,0.5516587204513117,17.15207455865221,12.418500697548614,6.376518218623482
EL422,Πάρος,3,2019,36812,123319,160131,7943,17.370233388598393,11.05617694205796,12.44680701655829,4.858085808580858
EL422,Σύρος,3,2019,46612,22289,68901,2531,-1.9231578504397595,11.629188160464766,2.086142266605426,2.928019520130134
EL422,Τήνος,3,2019,55715,8077,63792,2348,1.033638589173996,-12.65275224397102,-0.9317927692881104,0.3418803418803419
EL422,Άνδρος,3,2020,7610,2003,9613,958,-61.8048584621562,-79.03934700711595,-67.39145183175033,-33.42599027102155
EL422,Θήρα,3,2020,27198,116554,143752,13020,-63.25091203891367,-81.54439090662939,-79.62545372597431,-30.877043958377577
EL422,Μήλος,3,2020,12227,13572,25799,2399,-21.30904878362724,-66.38513931888545,-53.85867329601345,-13.142650253439536
EL422,Μύκονος,3,2020,20260,89767,110027,8012,-53.03771354396049,-84.33730104723918,-82.14621259940901,-56.151488616462345
EL422,Νάξος,3,2020,22640,24727,47367,5279,-43.79623653244625,-78.98382586671427,-70.0093073908281,-28.245208644828057
EL422,Πάρος,3,2020,17537,24004,41541,5681,-52.36064326849941,-80.53503515273397,-74.05811491841055,-28.47790507364976
EL422,Σύρος,3,2020,24139,5373,29512,1791,-48.21290654767012,-75.89393871416394,-57.167530224525045,-29.237455551165542
EL422,Τήνος,3,2020,25675,4690,30365,2145,-53.91725747105807,-41.933886343939584,-52.39998745924254,-8.645655877342419
EL422,Άνδρος,3,2021,13060,5686,18746,1067,71.61629434954008,183.8741887169246,95.00676167689586,11.377870563674325
EL422,Θήρα,3,2021,36365,271180,307545,12935,33.70468416795352,132.66468761260876,113.94137125048697,-0.65284178187404
