NUTS_label,year,NUTS_level,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy,Hotel_Stays_Natives_pct_diff,Hotel_Stays_Foreign_pct_diff,Hotel_Stays_Total_pct_diff,Hotel_Occupancy_pct_diff
ΚΕΡΚΥΡΑΣ,2024,3,497194,7058108,7555302,49850,66.3,NA,NA,NA,NA
ΚΕΦΑΛΛΗΝΙΑΣ,2024,3,119493,1102222,1221715,11194,52.9,NA,NA,NA,NA
ΚΙΛΚΙΣ,2024,3,31691,99167,130858,869,44.5,NA,NA,NA,NA
ΚΟΖΑΝΗΣ,2024,3,109302,16514,125816,1537,25.9,NA,NA,NA,NA
ΚΟΡΙΝΘΙΑΣ,2024,3,402226,418300,820526,7247,40.9,NA,NA,NA,NA
ΚΩ,2024,3,253012,8478223,8731235,59073,57.2,NA,NA,NA,NA
ΛΑΚΩΝΙΑΣ,2024,3,353217,218524,571741,6450,33,NA,NA,NA,NA
ΛΑΡΙΣΑΣ,2024,3,188245,87184,275429,2548,38,NA,NA,NA,NA
ΛΑΣΙΘΙΟΥ,2024,3,161763,3457415,3619178,27588,48.7,NA,NA,NA,NA
ΛΕΣΒΟΥ,2024,3,175828,492015,667843,6861,39.1,NA,NA,NA,NA
ΛΕΥΚΑΔΑΣ,2024,3,80325,470270,550595,5758,48.7,NA,NA,NA,NA
ΛΗΜΝΟΥ,2024,3,55211,125330,180541,2161,34.4,NA,NA,NA,NA
ΜΑΓΝΗΣΙΑΣ,2024,3,579409,225245,804654,9642,33.3,NA,NA,NA,NA
ΜΕΣΣΗΝΙΑΣ,2024,3,626049,746612,1372661,11947,41.4,NA,NA,NA,NA
ΜΗΛΟΥ,2024,3,63263,153748,217011,2998,38.6,NA,NA,NA,NA
