geo,year,temporary_employment,geo_label,NUTS_level,Country_code,temporary_employment_diff
LV,2004,9.7,Latvia,0,LV,1.041666666666663
LV,2005,8.7,Latvia,0,LV,-10.309278350515465
LV,2006,7.1,Latvia,0,LV,-18.390804597701145
LV,2007,4.1,Latvia,0,LV,-42.25352112676057
LV,2008,3.4,Latvia,0,LV,-17.073170731707314
LV,2009,4.3,Latvia,0,LV,26.47058823529412
LV,2010,7.1,Latvia,0,LV,65.11627906976743
LV,2011,6.6,Latvia,0,LV,-7.042253521126761
LV,2012,4.7,Latvia,0,LV,-28.78787878787878
LV,2013,4.4,Latvia,0,LV,-6.382978723404251
LV,2014,3.3,Latvia,0,LV,-25.00000000000001
LV,2015,3.8,Latvia,0,LV,15.151515151515152
LV,2016,3.7,Latvia,0,LV,-2.631578947368412
LV,2017,3,Latvia,0,LV,-18.918918918918923
LV,2018,2.7,Latvia,0,LV,-9.999999999999993
LV,2019,3.2,Latvia,0,LV,18.51851851851852
LV,2020,2.8,Latvia,0,LV,-12.50000000000001
LV,2021,2.8,Latvia,0,LV,0
LV,2022,2.7,Latvia,0,LV,-3.5714285714285587
LV,2023,2.6,Latvia,0,LV,-3.703703703703707
LV,2024,2.4,Latvia,0,LV,-7.692307692307699
LT,1995,NA,Lithuania,0,LT,NA
LT,1996,NA,Lithuania,0,LT,NA
LT,1997,NA,Lithuania,0,LT,NA
LT,1998,6.5,Lithuania,0,LT,NA
LT,1999,5.6,Lithuania,0,LT,-13.846153846153852
LT,2000,3.7,Lithuania,0,LT,-33.928571428571416
LT,2001,6.6,Lithuania,0,LT,78.37837837837836
LT,2002,7.5,Lithuania,0,LT,13.636363636363644
LT,2003,8,Lithuania,0,LT,6.666666666666667
LT,2004,6.5,Lithuania,0,LT,-18.75
LT,2005,5.4,Lithuania,0,LT,-16.92307692307692
LT,2006,4.6,Lithuania,0,LT,-14.814814814814827
LT,2007,3.8,Lithuania,0,LT,-17.391304347826082
LT,2008,2.4,Lithuania,0,LT,-36.84210526315789
LT,2009,2.3,Lithuania,0,LT,-4.1666666666666705
LT,2010,2.4,Lithuania,0,LT,4.347826086956526
LT,2011,2.7,Lithuania,0,LT,12.50000000000001
LT,2012,2.6,Lithuania,0,LT,-3.703703703703707
LT,2013,2.7,Lithuania,0,LT,3.8461538461538494
LT,2014,2.8,Lithuania,0,LT,3.7037037037036904
LT,2015,2.1,Lithuania,0,LT,-24.999999999999993
LT,2016,1.9,Lithuania,0,LT,-9.52380952380953
LT,2017,1.7,Lithuania,0,LT,-10.526315789473681
LT,2018,1.6,Lithuania,0,LT,-5.882352941176463
LT,2019,1.5,Lithuania,0,LT,-6.250000000000005
LT,2020,1.2,Lithuania,0,LT,-20.000000000000004
LT,2021,1.9,Lithuania,0,LT,58.333333333333336
LT,2022,1.9,Lithuania,0,LT,0
LT,2023,2,Lithuania,0,LT,5.263157894736848
LT,2024,1.7,Lithuania,0,LT,-15.000000000000002
LU,1995,NA,Luxembourg,0,LU,NA
LU,1996,2.6,Luxembourg,0,LU,NA
LU,1997,2.1,Luxembourg,0,LU,-19.23076923076923
LU,1998,2.9,Luxembourg,0,LU,38.09523809523809
LU,1999,3.4,Luxembourg,0,LU,17.24137931034483
LU,2000,3.4,Luxembourg,0,LU,0
LU,2001,4.4,Luxembourg,0,LU,29.411764705882366
LU,2002,4.3,Luxembourg,0,LU,-2.2727272727272845
LU,2003,3.1,Luxembourg,0,LU,-27.90697674418604
LU,2004,4.8,Luxembourg,0,LU,54.83870967741934
LU,2005,5.3,Luxembourg,0,LU,10.416666666666668
LU,2006,6.1,Luxembourg,0,LU,15.094339622641506
LU,2007,6.8,Luxembourg,0,LU,11.475409836065577
LU,2008,6.2,Luxembourg,0,LU,-8.823529411764701
LU,2009,7.2,Luxembourg,0,LU,16.129032258064516
LU,2010,7.1,Luxembourg,0,LU,-1.3888888888888962
LU,2011,7.1,Luxembourg,0,LU,0
LU,2012,7.7,Luxembourg,0,LU,8.450704225352121
LU,2013,7.1,Luxembourg,0,LU,-7.792207792207799
LU,2014,8.2,Luxembourg,0,LU,15.492957746478869
LU,2015,10.2,Luxembourg,0,LU,24.39024390243903
LU,2016,9,Luxembourg,0,LU,-11.764705882352935
LU,2017,9.1,Luxembourg,0,LU,1.1111111111111072
LU,2018,9.9,Luxembourg,0,LU,8.791208791208799
LU,2019,9.2,Luxembourg,0,LU,-7.070707070707082
LU,2020,7.7,Luxembourg,0,LU,-16.30434782608695
LU,2021,9.2,Luxembourg,0,LU,19.48051948051947
LU,2022,7.4,Luxembourg,0,LU,-19.565217391304337
LU,2023,7.5,Luxembourg,0,LU,1.3513513513513467
LU,2024,9.5,Luxembourg,0,LU,26.666666666666668
HU,1995,NA,Hungary,0,HU,NA
HU,1996,NA,Hungary,0,HU,NA
HU,1997,6.7,Hungary,0,HU,NA
HU,1998,6.7,Hungary,0,HU,0
HU,1999,6.2,Hungary,0,HU,-7.462686567164178
HU,2000,6.9,Hungary,0,HU,11.290322580645164
HU,2001,7.5,Hungary,0,HU,8.695652173913038
HU,2002,7.5,Hungary,0,HU,0
HU,2003,7.6,Hungary,0,HU,1.3333333333333286
HU,2004,6.9,Hungary,0,HU,-9.210526315789465
HU,2005,7,Hungary,0,HU,1.4492753623188355
HU,2006,6.9,Hungary,0,HU,-1.4285714285714235
HU,2007,7.3,Hungary,0,HU,5.797101449275354
HU,2008,7.9,Hungary,0,HU,8.219178082191789
HU,2009,8.5,Hungary,0,HU,7.594936708860754
HU,2010,9.8,Hungary,0,HU,15.294117647058833
HU,2011,9.1,Hungary,0,HU,-7.142857142857154
