geo,year,unemployment_rate,geo_label,NUTS_level,Country_code,unemployment_rate_pct_diff
BE10,2013,24.3,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,9.954751131221716
BE10,2014,20.9,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-13.991769547325111
BE10,2015,20.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-1.4354066985645797
BE10,2016,20.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-0.9708737864077808
BE10,2017,19.1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-6.37254901960783
BE10,2018,19.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,2.0942408376963275
BE10,2019,18.7,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-4.102564102564106
BE10,2020,17.9,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-4.278074866310164
BE10,2021,14.2,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-20.670391061452513
BE10,2022,13.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-5.633802816901401
BE10,2023,11.2,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-16.4179104477612
BE10,2024,13.1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,16.96428571428572
BE2,2000,12.4,Vlaams Gewest,1,BE,NA
BE2,2001,11.7,Vlaams Gewest,1,BE,-5.645161290322589
BE2,2002,12.4,Vlaams Gewest,1,BE,5.982905982905992
BE2,2003,13.9,Vlaams Gewest,1,BE,12.096774193548386
BE2,2004,12.6,Vlaams Gewest,1,BE,-9.352517985611515
BE2,2005,10.4,Vlaams Gewest,1,BE,-17.460317460317455
BE2,2006,8,Vlaams Gewest,1,BE,-23.076923076923077
BE2,2007,8.7,Vlaams Gewest,1,BE,8.749999999999991
BE2,2008,7.6,Vlaams Gewest,1,BE,-12.643678160919535
