geo,year,unemployment_pct,geo_label,NUTS_level,Country_code,unemployment_diff
DEE0,2017,6.9,Sachsen-Anhalt,2,DE,-6.756756756756756
DEE0,2018,5.3,Sachsen-Anhalt,2,DE,-23.188405797101456
DEE0,2019,4.6,Sachsen-Anhalt,2,DE,-13.207547169811324
DEE0,2020,4.8,Sachsen-Anhalt,2,DE,4.347826086956526
DEE0,2021,4.2,Sachsen-Anhalt,2,DE,-12.499999999999993
DEE0,2022,3.9,Sachsen-Anhalt,2,DE,-7.1428571428571495
DEE0,2023,3.8,Sachsen-Anhalt,2,DE,-2.5641025641025665
DEE0,2024,4.2,Sachsen-Anhalt,2,DE,10.526315789473696
DEF0,2013,4.9,Schleswig-Holstein,2,DE,NA
DEF0,2014,4.6,Schleswig-Holstein,2,DE,-6.122448979591851
DEF0,2015,4.2,Schleswig-Holstein,2,DE,-8.695652173913032
DEF0,2016,4,Schleswig-Holstein,2,DE,-4.761904761904765
DEF0,2017,3.6,Schleswig-Holstein,2,DE,-9.999999999999998
DEF0,2018,3.1,Schleswig-Holstein,2,DE,-13.88888888888889
DEF0,2019,2.9,Schleswig-Holstein,2,DE,-6.451612903225811
DEF0,2020,3.5,Schleswig-Holstein,2,DE,20.689655172413797
DEF0,2021,3.2,Schleswig-Holstein,2,DE,-8.571428571428566
DEF0,2022,2.9,Schleswig-Holstein,2,DE,-9.375000000000009
DEF0,2023,3.1,Schleswig-Holstein,2,DE,6.896551724137938
DEF0,2024,3.4,Schleswig-Holstein,2,DE,9.677419354838705
DEG0,2013,6,Thüringen,2,DE,NA
DEG0,2014,6,Thüringen,2,DE,0
DEG0,2015,5.8,Thüringen,2,DE,-3.333333333333336
DEG0,2016,5.1,Thüringen,2,DE,-12.068965517241383
DEG0,2017,4.4,Thüringen,2,DE,-13.725490196078418
DEG0,2018,4.1,Thüringen,2,DE,-6.818181818181834
DEG0,2019,3.7,Thüringen,2,DE,-9.756097560975597
DEG0,2020,4.2,Thüringen,2,DE,13.513513513513512
DEG0,2021,3.5,Thüringen,2,DE,-16.66666666666667
DEG0,2022,3,Thüringen,2,DE,-14.285714285714285
DEG0,2023,3.1,Thüringen,2,DE,3.333333333333336
DEG0,2024,3.4,Thüringen,2,DE,9.677419354838705
EE00,2013,8.6,Eesti,2,EE,NA
EE00,2014,7.4,Eesti,2,EE,-13.953488372093014
EE00,2015,6.4,Eesti,2,EE,-13.513513513513512
EE00,2016,6.9,Eesti,2,EE,7.8125
EE00,2017,5.8,Eesti,2,EE,-15.942028985507253
EE00,2018,5.4,Eesti,2,EE,-6.896551724137923
EE00,2019,4.5,Eesti,2,EE,-16.66666666666667
EE00,2020,7,Eesti,2,EE,55.55555555555556
EE00,2021,6.2,Eesti,2,EE,-11.428571428571425
EE00,2022,5.6,Eesti,2,EE,-9.677419354838717
EE00,2023,6.4,Eesti,2,EE,14.285714285714299
EE00,2024,7.6,Eesti,2,EE,18.74999999999999
IE04,2013,13.2,Northern and Western,2,IE,NA
IE04,2014,11.6,Northern and Western,2,IE,-12.12121212121212
IE04,2015,10.1,Northern and Western,2,IE,-12.931034482758621
IE04,2016,8.6,Northern and Western,2,IE,-14.85148514851485
IE04,2017,6.2,Northern and Western,2,IE,-27.90697674418604
IE04,2018,5.6,Northern and Western,2,IE,-9.677419354838717
IE04,2019,4.8,Northern and Western,2,IE,-14.285714285714283
IE04,2020,5,Northern and Western,2,IE,4.1666666666666705
IE04,2021,5,Northern and Western,2,IE,0
IE04,2022,4,Northern and Western,2,IE,-20
IE04,2023,3.8,Northern and Western,2,IE,-5.000000000000004
IE04,2024,4.2,Northern and Western,2,IE,10.526315789473696
IE05,2013,14.3,Southern,2,IE,NA
IE05,2014,12.7,Southern,2,IE,-11.188811188811199
IE05,2015,10.7,Southern,2,IE,-15.748031496062993
IE05,2016,8.6,Southern,2,IE,-19.62616822429906
IE05,2017,7,Southern,2,IE,-18.604651162790695
IE05,2018,6.2,Southern,2,IE,-11.428571428571425
IE05,2019,5.5,Southern,2,IE,-11.290322580645164
IE05,2020,5.8,Southern,2,IE,5.4545454545454515
IE05,2021,6.5,Southern,2,IE,12.068965517241383
IE05,2022,4.3,Southern,2,IE,-33.84615384615385
IE05,2023,4.2,Southern,2,IE,-2.3255813953488293
IE05,2024,4.1,Southern,2,IE,-2.380952380952394
IE06,2013,13.6,Eastern and Midland,2,IE,NA
IE06,2014,11.5,Eastern and Midland,2,IE,-15.441176470588234
IE06,2015,9.4,Eastern and Midland,2,IE,-18.260869565217387
IE06,2016,8.2,Eastern and Midland,2,IE,-12.765957446808521
IE06,2017,6.7,Eastern and Midland,2,IE,-18.292682926829258
IE06,2018,5.6,Eastern and Midland,2,IE,-16.4179104477612
IE06,2019,4.7,Eastern and Midland,2,IE,-16.071428571428566
IE06,2020,5.8,Eastern and Midland,2,IE,23.404255319148927
IE06,2021,6.5,Eastern and Midland,2,IE,12.068965517241383
IE06,2022,4.7,Eastern and Midland,2,IE,-27.69230769230769
IE06,2023,4.5,Eastern and Midland,2,IE,-4.255319148936174
IE06,2024,4.4,Eastern and Midland,2,IE,-2.2222222222222143
EL30,2013,28.7,Aττική,2,EL,NA
EL30,2014,27.4,Aττική,2,EL,-4.529616724738679
EL30,2015,25.2,Aττική,2,EL,-8.029197080291969
EL30,2016,23,Aττική,2,EL,-8.730158730158728
EL30,2017,21.6,Aττική,2,EL,-6.086956521739125
EL30,2018,19.9,Aττική,2,EL,-7.870370370370383
EL30,2019,16.9,Aττική,2,EL,-15.075376884422113
EL30,2020,14.1,Aττική,2,EL,-16.568047337278102
