geo,NUTS_label,NUTS_label_el,NUTS_level,year,GFCF_GHI,GFCF_Total,GFCF_pct,GFCF_pct_diff
EL54,Ipeiros,Ήπειρος,2,2009,44.15670719037974,1442.8359604127943,3.060410774468536,-38.54617533971109
EL54,Ipeiros,Ήπειρος,2,2010,51.066060896890086,1164.5064356312448,4.38521070681835,15.647348151937516
EL54,Ipeiros,Ήπειρος,2,2011,70.71378959169782,874.2205547351748,8.088781396030999,38.475120950643515
EL54,Ipeiros,Ήπειρος,2,2012,20.6096771907781,523.7472605810515,3.9350424798238524,-70.85479747333781
EL54,Ipeiros,Ήπειρος,2,2013,25.564047896177012,516.6738488547813,4.947811458396873,24.039050488455825
EL54,Ipeiros,Ήπειρος,2,2014,60.97005996133305,603.9072801486557,10.095930611454936,138.4992400614726
EL54,Ipeiros,Ήπειρος,2,2015,72.51602880520662,554.9539806916802,13.067034624172717,18.937112496192345
EL54,Ipeiros,Ήπειρος,2,2016,43.53542362008056,569.2869357455893,7.647360388318529,-39.96441292031324
EL54,Ipeiros,Ήπειρος,2,2017,53.42727088856282,653.8645017574061,8.171000374690042,22.721375941589983
EL54,Ipeiros,Ήπειρος,2,2018,61.53982681512989,611.5638129894439,10.062699183313535,15.184297815787787
EL54,Ipeiros,Ήπειρος,2,2019,50.109816908087986,593.6109450744675,8.441525097183273,-18.57335403523069
EL54,Ipeiros,Ήπειρος,2,2020,52.82399423163057,639.1115586996359,8.265222794453688,5.4164582730784305
EL54,Ipeiros,Ήπειρος,2,2021,65.89255033162249,860.2879277788587,7.659360105371663,24.739810554057975
EL54,Ipeiros,Ήπειρος,2,2022,77.08639559289142,1051.590034827191,7.330460829781362,16.98802854789018
EL52,Kentriki Makedonia,Κεντρική Μακεδονία,2,2000,528.2375093725344,6313.302392151953,8.367055410321939,NA
EL52,Kentriki Makedonia,Κεντρική Μακεδονία,2,2001,583.5252369252012,6487.512091922768,8.99459189681843,10.46645241424452
EL52,Kentriki Makedonia,Κεντρική Μακεδονία,2,2002,870.8869028980381,6460.0737955448885,13.481067406670102,49.24579911694072
EL52,Kentriki Makedonia,Κεντρική Μακεδονία,2,2003,815.9073045195572,7584.659036701994,10.75733662609486,-6.313058354136001
EL52,Kentriki Makedonia,Κεντρική Μακεδονία,2,2004,886.1392597387952,8787.172032105267,10.084464677613582,8.607835084966387
EL52,Kentriki Makedonia,Κεντρική Μακεδονία,2,2005,687.1676184309196,7185.76850787827,9.562896684989626,-22.453766619766512
